# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             189   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001f0e
             190   N   00000b2e   08851717   00000b22   ---        --------
             195   N   00000b22   0000c791   00000b26   x15_a5     00000072
             196   N   00000b26   00f82023   00000b28   ---        --------
             198   N   00000b28   00000885   00000b2c   ---        --------
             199   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001f0f
             200   N   00000b2e   08851717   00000b22   ---        --------
             205   N   00000b22   0000c791   00000b26   x15_a5     00000075
             206   N   00000b26   00f82023   00000b28   ---        --------
             208   N   00000b28   00000885   00000b2c   ---        --------
             209   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001f10
             210   N   00000b2e   08851717   00000b22   ---        --------
             215   N   00000b22   0000c791   00000b26   x15_a5     00000063
             216   N   00000b26   00f82023   00000b28   ---        --------
             218   N   00000b28   00000885   00000b2c   ---        --------
             219   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001f11
             220   N   00000b2e   08851717   00000b22   ---        --------
             225   N   00000b22   0000c791   00000b26   x15_a5     00000074
             226   N   00000b26   00f82023   00000b28   ---        --------
             228   N   00000b28   00000885   00000b2c   ---        --------
             229   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001f12
             230   N   00000b2e   08851717   00000b22   ---        --------
             235   N   00000b22   0000c791   00000b26   x15_a5     00000069
             236   N   00000b26   00f82023   00000b28   ---        --------
             238   N   00000b28   00000885   00000b2c   ---        --------
             239   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001f13
             240   N   00000b2e   08851717   00000b22   ---        --------
             245   N   00000b22   0000c791   00000b26   x15_a5     0000006f
             246   N   00000b26   00f82023   00000b28   ---        --------
             248   N   00000b28   00000885   00000b2c   ---        --------
             249   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001f14
             250   N   00000b2e   08851717   00000b22   ---        --------
             255   N   00000b22   0000c791   00000b26   x15_a5     0000006e
             256   N   00000b26   00f82023   00000b28   ---        --------
             258   N   00000b28   00000885   00000b2c   ---        --------
             259   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001f15
             260   N   00000b2e   08851717   00000b22   ---        --------
             265   N   00000b22   0000c791   00000b26   x15_a5     0000000a
             266   N   00000b26   00f82023   00000b28   ---        --------
             268   N   00000b28   00000885   00000b2c   ---        --------
             269   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001f16
             270   N   00000b2e   08851717   00000b22   ---        --------
             275   N   00000b22   0000c791   00000b26   x15_a5     00000020
             276   N   00000b26   00f82023   00000b28   ---        --------
             278   N   00000b28   00000885   00000b2c   ---        --------
             279   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001f17
             280   N   00000b2e   08851717   00000b22   ---        --------
             285   N   00000b22   0000c791   00000b26   x15_a5     00000000
             286   N   00000b26   00f82023   00000b32   ---        --------
             290   N   00000b32   20230713   00000b36   x14_a4     00001b32
             292   N   00000b36   0000c311   00000b3a   x14_a4     00002100
             293   N   00000b3a   00008702   00000b3c   ---        --------
             294   N   00000b3c   34202773   00002100   ---        --------
             297   N   00002100   e6dff06f   00002140   ---        --------
             300   N   00002140   342022f3   00002144   x06_t1     00000002
             301   N   00002144   ec6296e3   00002148   x05_t0     00000002
             302   N   00002148   341022f3   0000214c   ---        --------
             303   N   0000214c   343023f3   00002150   x05_t0     00001f1c
             304   N   00002150   00038e63   00002154   x07_t2     00000000
             305   N   00002154   0002d303   00002170   ---        --------
             308   N   00002170   dac30313   00002174   x06_t1     00002170
             309   N   00002174   04628e63   00002178   x06_t1     00001f1c
             310   N   00002178   00000317   000021d4   ---        --------
             313   N   000021d4   34129073   000021d8   x05_t0     00001f24
             314   N   000021d8   30200073   000021dc   ---        --------
             316   N   000021dc   00200337   00001f24   ---        --------
             319   N   00001f24   80028293   00001f28   x05_t0     00002000
             320   N   00001f28   3002b073   00001f2c   x05_t0     00001800
             321   N   00001f2c   00001337   00001f30   ---        --------
             322   N   00001f30   00001337   00001f30   ---        --------
             323   N   00001f30   80030313   00001f34   x06_t1     00001000
             324   N   00001f34   30032073   00001f38   x06_t1     00000800
             325   N   00001f38   300023f3   00001f3c   ---        --------
             326   N   00001f3c   300023f3   00001f3c   ---        --------
             327   N   00001f3c   0053f3b3   00001f40   x07_t2     00001880
             328   N   00001f40   0e731063   00001f44   x07_t2     00001800
             329   N   00001f44   34415073   00002024   ---        --------
             332   N   00002024   000e0593   00002028   ---        --------
             333   N   00002028   00000513   0000202c   x11_a1     00000002
             334   N   0000202c   00000073   00002030   x10_a0     00000000
             335   E   00002030   00000013   00000b00   mstatus    00001800
             335   E   00002030   00000013   00000b00   mepc       00002030
             335   E   00002030   00000013   00000b00   mcause     0000000b
             335   E   00002030   00000013   00000b00   mtval      00000000
             338   N   00000b00   000047a1   00000b04   x14_a4     0000000b
             339   N   00000b04   04f70263   00000b06   x15_a5     00000008
             340   N   00000b06   000047a5   00000b0a   ---        --------
